id,date,activity,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,call,circumplex.arousal,circumplex.valence,mood,screen,sms
AS14.01,2014-05-04,0.03654453306746425,4.064868421052632,27.67201754385965,15.087250000000001,,,,7.1049999999999995,38.6835,,,,,,-0.5,1.0,8.0,23.45734545100818,
AS14.01,2014-05-05,0.007842595452107337,5.916095238095238,26.982142857142858,,,,,,25.104,,,33.254666666666665,,,,,,28.202099990844708,
AS14.02,2014-02-17,,,,,,,,,,,,,,1.0,,,,,1.0
AS14.02,2014-02-18,,,,,,,,,,,,,,1.0,,,,,1.0
AS14.02,2014-02-19,,,,,,,,,,,,,,1.0,,,,,1.0
AS14.02,2014-02-20,,,,,,,,,,,,,,1.0,,,,,
AS14.02,2014-02-21,,,,,,,,,,,,,,1.0,,,,,1.0
AS14.02,2014-02-22,,,,,,,,,,,,,,1.0,,,,,1.0
AS14.02,2014-02-23,,,,,,,,,,,,,,1.0,,,,,1.0
AS14.02,2014-02-24,,,,,,,,,,,,,,1.0,,,,,1.0
AS14.02,2014-02-25,,,,,,,,,,,,,,1.0,,,,,1.0
AS14.02,2014-02-26,,,,,,,,,,,,,,1.0,,,,,
AS14.02,2014-02-27,,,,,,,,,,,,,,1.0,,,,,
AS14.02,2014-02-28,,,,,,,,,,,,,,1.0,,,,,1.0
AS14.02,2014-03-01,,,,,,,,,,,,,,1.0,,,,,1.0
AS14.02,2014-03-02,,,,,,,,,,,,,,1.0,,,,,
AS14.02,2014-03-03,,,,,,,,,,,,,,1.0,,,,,
AS14.02,2014-03-04,,,,,,,,,,,,,,1.0,,,,,1.0
AS14.02,2014-03-05,,,,,,,,,,,,,,1.0,,,,,
AS14.02,2014-03-06,,,,,,,,,,,,,,1.0,,,,,1.0
AS14.02,2014-03-07,,,,,,,,,,,,,,1.0,,,,,1.0
AS14.02,2014-03-08,,,,,,,,,,,,,,1.0,,,,,1.0
AS14.02,2014-03-09,,,,,,,,,,,,,,1.0,,,,,
AS14.02,2014-03-10,,,,,,,,,,,,,,1.0,,,,,1.0
AS14.02,2014-03-11,,,,,,,,,,,,,,1.0,,,,,1.0
AS14.02,2014-03-12,,,,,,,,,,,,,,1.0,,,,,1.0
AS14.02,2014-03-13,,,,,,,,,,,,,,1.0,,,,,1.0
AS14.02,2014-03-14,,7.521571428571429,10.974862068965518,12.029333333333334,,,,15.599857142857143,5.7262,,,,,1.0,,,,14.03275758208651,
AS14.02,2014-03-15,,5.401602836879433,13.532871559633028,12.323625,,,,,,15.7125,,,,1.0,,,,14.707596391080374,
AS14.02,2014-03-16,,5.138409090909091,15.038619047619047,,,,,18.13329411764706,10.681823529411766,,,,,1.0,0.0,0.0,6.0,15.416342103690434,1.0
AS14.02,2014-03-17,0.1680684149503257,5.123818965517242,20.693407894736843,1.089,,,,12.962375,10.3028,,,,,1.0,0.0,0.5,7.0,17.732386802727323,
AS14.02,2014-03-18,0.21948438425543756,5.26424060150376,15.3637,7.729500000000001,,,,17.744400000000002,6.15964705882353,,,,,1.0,0.6,0.8,8.0,16.511308730848683,1.0
AS14.02,2014-03-19,0.31563175685064315,6.415943089430895,16.315136363636363,10.129727272727273,,,,17.589333333333332,9.562999999999999,15.182903225806452,,,,1.0,0.4,0.4,7.0,16.14323571750096,1.0
AS14.02,2014-03-20,0.23902496021034736,6.442060606060606,21.469066666666667,3.85175,,,,10.857125,8.596625,,,,,1.0,-0.5,0.75,7.0,14.842369382445879,1.0
AS14.02,2014-03-21,0.28962792490010747,5.30970253164557,19.185056603773585,18.491,,,,9.486,10.920478260869567,24.572,,,,1.0,-0.75,0.75,8.0,18.53707200050354,1.0
AS14.02,2014-03-22,0.44604368683290135,5.299174129353234,20.78147619047619,13.479000000000001,,,,10.801,10.754394736842107,16.38981081081081,,,,1.0,-1.0,-0.5,6.0,17.000743599427054,1.0
AS14.02,2014-03-23,0.26969715703353236,5.750544642857143,20.65528888888889,13.235312500000001,,,,15.46625,14.331125,18.82248,,,,1.0,-1.0,0.0,6.0,16.685872005462645,1.0
AS14.02,2014-03-24,0.15612466250149995,6.540797619047619,14.185877192982456,10.7881,,,,16.3616,12.393916666666668,,,,,1.0,0.2,-0.2,6.0,13.46625423229347,
AS14.02,2014-03-25,0.23051365485645373,5.8360394736842105,16.66743076923077,12.076666666666666,,,,10.075,7.646416666666667,,,,,1.0,-1.25,0.75,8.0,13.790366012286517,
AS14.02,2014-03-26,0.29395346240584214,6.027947368421053,18.274349206349207,8.322999999999999,,,,8.39,15.022774193548388,,,,,1.0,-1.2,0.4,7.0,16.796865251892847,
