id,time,time_period,activity,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,call,circumplex.arousal,circumplex.valence,mood,screen,sms
AS14.01,2014-04-19,16-24,0.21050553434542774,6.596342857142858,34.84810714285714,101.653,23.094333333333335,,,6.1274999999999995,36.62242857142858,,,9.032,,,0.0,1.0,8.0,207.8934444542285,
AS14.01,2014-04-20,0-8,0.012987012987012986,6.0615853658536585,59.51005882352941,118.02766666666668,5.303,,,,286.0022,,,22.065,,1.0,,,,221.2318181991579,1.0
AS14.01,2014-04-20,8-16,0.11487960338529213,7.163119047619047,40.911125,17.107,,,,5.716666666666666,42.512157894736845,,,29.358,,,-0.5,0.5,7.5,67.5223124995828,
AS14.01,2014-04-20,16-24,0.0888534590000299,5.519206349206349,65.02578260869565,53.681333333333335,,,,8.526,,,,8.7015,,,0.0,1.0,7.0,81.50552174319391,
AS14.01,2014-04-21,0-8,0.0,17.518333333333334,,,,,,,,,,,,,,,,17.52766672770183,
AS14.01,2014-04-21,8-16,0.15368911640832555,55.269622641509436,31.994919999999997,22.6905,11.088666666666667,,,8.164,,22.759333333333334,,21.068,,1.0,-0.5,1.0,7.333333333333333,50.40690623223784,
AS14.01,2014-04-21,16-24,0.15243406049641597,9.795468085106384,57.35590476190476,14.749500000000001,,,,16.7785,61.28171428571428,,,21.090444444444444,,1.0,0.0,1.0,8.0,90.30779165029521,
AS14.01,2014-04-22,0-8,0.0,7.771346153846154,48.294333333333334,,,,,,,,,3.015,,,,,,35.02209999561306,
AS14.01,2014-04-22,8-16,0.20133541064647192,18.658986842105264,39.90242268041237,31.805523809523805,6.727666666666667,,,11.9635,37.166,,,24.404714285714284,,,0.6666666666666666,1.0,7.333333333333333,74.73352702888282,
AS14.01,2014-04-22,16-24,0.0744532448204042,7.318716049382717,51.3670979020979,61.87157142857143,6.09,,,7.6530000000000005,70.95873684210525,,,19.182076923076924,,1.0,-0.5,1.0,7.5,97.0683636280021,
AS14.01,2014-04-23,0-8,0.00953389830508475,50.692,127.0055,,,,,,,,,,,,,,,371.1586666901899,
AS14.01,2014-04-23,8-16,0.059243205172354575,6.69736111111111,46.51774074074074,46.25033333333334,6.0169999999999995,,,6.53475,33.39975,,,6.027,,,0.3333333333333333,1.0,7.333333333333333,56.173466653823866,
AS14.01,2014-04-23,16-24,0.06917996392385727,5.3825,59.83565853658537,34.779333333333334,,,,8.1295,49.124875,,,24.0917,,1.0,0.0,1.0,8.0,127.90075000458299,
AS14.01,2014-04-24,0-8,0.01669546166999145,19.031830188679244,47.374428571428574,145.99699999999999,,,,,190.9985,,,13.9996,,,,,,871.1856666405997,
AS14.01,2014-04-24,8-16,0.04087384675783545,2.603774193548387,73.3963396226415,235.11157142857147,,,,7.536,48.36445454545455,,,,,,-0.3333333333333333,1.0,7.666666666666667,272.2772857206211,
AS14.01,2014-04-24,16-24,0.09513965615427598,5.542161764705883,63.253473684210526,48.52908,41.9874,,,8.4305,56.140888888888895,17.061333333333334,,31.6376875,,1.0,-0.5,1.0,7.5,126.51506849511031,
AS14.01,2014-04-25,0-8,0.004237288135593225,6.147952380952381,48.183,40.1515,,,,,109.734,,,,,,,,,62.19925001263622,
AS14.01,2014-04-25,8-16,0.1534841954022988,7.1917,58.54158333333333,13.045,7.023666666666666,,,10.88625,96.09652631578948,22.067,,14.092500000000001,,1.0,-0.3333333333333333,0.6666666666666666,7.0,112.87324243242097,1.0
AS14.01,2014-04-25,16-24,0.16946170737259036,3.9024137931034484,40.58715789473684,55.74839999999999,,,,12.651,72.658,20.624499999999998,,21.319266666666667,,1.0,0.0,1.0,7.5,89.95095520944733,
AS14.01,2014-04-26,0-8,0.0,16.71,,,,,,,,,,,,,,,,16.7244999408722,
AS14.01,2014-04-26,8-16,0.3489661890397184,6.531316666666667,22.569055555555554,125.556,6.816749999999999,,,8.702,1173.6625,20.779947368421052,,8.615833333333333,,,0.3333333333333333,1.0,7.333333333333333,118.52471051718064,1.0
AS14.01,2014-04-26,16-24,0.3051417478628083,11.87081081081081,86.46456,,,,,10.0495,21.052,75.954,3.148,17.604533333333332,,1.0,-1.0,1.0,8.0,364.82103332678463,1.0
AS14.01,2014-04-27,0-8,0.0021367521367521374,,19.293,,,,,,,,,,,,,,,19.3319997787476,
AS14.01,2014-04-27,8-16,0.026403390560918002,8.932472222222222,45.29256521739131,41.263999999999996,,,,17.9455,,,,4.3613333333333335,,,-0.3333333333333333,1.0,7.333333333333333,64.99889657415197,
AS14.01,2014-04-27,16-24,0.07370253033264003,21.08141304347826,57.103166666666674,217.31683333333334,,,,164.15033333333335,13.735,,,15.751333333333333,,,0.5,1.0,8.0,165.0548695481343,
AS14.01,2014-04-28,0-8,0.0016025641025641,7.9959999999999996,149.175,,,,,,,,,,,,,,,11.202499985694901,
AS14.01,2014-04-28,8-16,0.020165020443280487,13.808437499999998,66.40634042553191,,5.387999999999999,,,13.627,174.955,,,17.281499999999998,,1.0,-1.0,1.0,7.666666666666667,142.27335485335314,
AS14.01,2014-04-28,16-24,0.03725838306935211,9.923936507936508,38.57024324324325,110.6027142857143,74.84816666666667,,,9.038,204.45254545454546,,,,,,-0.5,0.5,7.5,113.8384107010705,
AS14.01,2014-04-29,0-8,0.0,19.316,,,,,,,,,,,,,,,,19.3139998912811,
AS14.01,2014-04-29,8-16,0.1560484921541993,16.52807142857143,48.43809523809524,114.55228571428572,,166.6525,,9.129333333333333,131.14566666666667,20.991,,37.6828,,,0.5,1.0,6.333333333333333,82.96874136760316,
AS14.01,2014-04-29,16-24,0.15222625343431412,91.27115,48.65527027027027,44.74511764705883,,,,6.542,18.048,,,15.858714285714285,,,-1.0,1.0,8.0,70.73932557882266,
AS14.01,2014-04-30,0-8,0.0,,,19.24,,,,,,,,,,,,,,19.2269999980927,
